index,n_rows,n_nodes,n_edges,density,avg_degree,file_size_mb
264,15444200,20397,64861,0.00015590941463258497,3.179928420846203,1608.8602380752563
265,15398275,20383,64282,0.00015472998332545049,3.1537065201393317,1603.3975238800049
266,15366422,20532,64973,0.00015413155549690114,3.164474965906877,1599.7966794967651
267,15476240,20541,65224,0.0001545914274948334,3.175307920743878,1612.5530252456665
268,15596283,20736,65992,0.00015348370233427705,3.1824845679012346,1625.7795934677124
269,15170697,20467,65211,0.00015568031466717982,3.186153319978502,1581.0203075408936
270,15576305,21076,67472,0.00015190351047229627,3.201366483203644,1624.7313718795776
271,15571241,20856,66756,0.00015347904692353554,3.2008055235903337,1624.3422594070435
272,15725101,20978,67314,0.00015296706684088165,3.2087901611211747,1640.9415483474731
273,15708144,21738,70076,0.00014830306070335312,3.2236636305087862,1639.6441774368286
274,16185339,21738,70698,0.00014961941014906185,3.2522771184101575,1693.3060026168823
275,17348670,22407,74486,0.00014836334176422574,3.3242290355692417,1821.090467453003
276,18945289,23497,80492,0.00014579625483814544,3.425628803677065,1994.1619358062744
277,20708143,24495,86121,0.00014353965786189762,3.5158603796693204,2187.5547761917114
278,19121113,24326,84839,0.0001433745241389252,3.4875852996793553,2013.2310953140259
279,16229627,22681,74944,0.00014569062964930285,3.3042634804461883,1697.8229932785034
280,15689227,21732,69985,0.00014819227279646064,3.220366280139886,1637.7026863098145
281,15661905,21754,69521,0.0001469121540210954,3.1957800864208883,1632.9021730422974
282,15953493,21463,68940,0.0001496616961833441,3.212039323486931,1659.4815874099731
283,15934848,21556,68995,0.00014849143932163506,3.2007329745778437,1658.2555150985718
284,15885519,21392,68719,0.0001501738633045507,3.212369109947644,1652.6543865203857
285,15804592,21290,68051,0.0001501424810246852,3.1963832785345234,1643.3311862945557
286,15864270,21299,68197,0.00015033746889635553,3.20188741255458,1650.5539503097534
287,15889483,21413,68807,0.0001500713782895451,3.21332835193574,1655.9652376174927
288,15849647,21435,68581,0.00014927156949801626,3.1994868206204807,1651.5338315963745
289,15939585,21262,67828,0.00015004489025099364,3.1901044116263755,1661.5690784454346
290,16029118,21697,69590,0.00014783166738791695,3.207355855648246,1670.1836519241333
291,16247330,21392,68572,0.00014985261942868276,3.2054973821989527,1694.1386499404907
292,16126889,21595,69205,0.00014840590018369907,3.2046770085667977,1682.4534578323364
293,16330805,21941,70756,0.00014698405772637044,3.224830226516567,1704.8246908187866
294,16632981,22157,72353,0.00014738532009211976,3.2654691519610055,1736.8524312973022
295,17494047,22946,75786,0.00014394412173753202,3.302797873267672,1830.9781675338745
296,19424294,23929,81382,0.00014213381364649202,3.400977892933261,2043.0438022613525
297,20605953,24952,87914,0.00014120976247783586,3.5233247835844823,2173.042754173279
298,19597316,24846,86714,0.00014047328484498927,3.490058761973758,2060.4740056991577
299,16358594,22792,75378,0.00014511048471822462,3.3072130572130574,1708.1766529083252
300,16029919,21858,70182,0.0001469010048106594,3.2108152621465824,1671.0925521850586
301,15968138,21482,68184,0.0001477587702937138,3.1740061446792662,1663.1644821166992
